ID;Title;Type;Document
I.2.2;Revealing attributes;Description;"I.2.2: Revealing attributes
A number of revealing attributes are included in the data which support the identification of the data subject.
Examples:
When an individual shares detailed data (such as location, employer, device type, etc.) in a feedback form, the provided information may be revealing enough to uniquely identify that person.
Impact:
Inadvertently providing identifiable attributes in user-submitted data can lead to the unintentional identification of the individual."
I.2.3;The data subject is distinguishable from others;Description;"I.2.3: The data subject is distinguishable from others
The anonymity set is too small, which allows singling out an individual data subject.
Examples:
User search queries, such as looking up nearby businesses or info about a rare illness, can be highly specific and may lead to identification.|A person's consistent access at a particular time each week could link their visits even when they are not logged into their account.|An individual's gait can be used to uniquely identify them.|Queries with a very small result set could deliver results unique to a particular individual.|Authentication with biometrics (e.g., fingerprint or iris) work based on being able to uniquely link these biometric properties to a single user.|The use of facial recognition processing on, for example, profile images can enable the derivation of attributes that can be combined to identify the depicted individual.
Impact:
Even without identity information, user actions or data may be very specific and unintentionally reveal the identity."
Nr;Non-repudiation;Description;"Nr: Non-repudiation
Non-repudiation threats represent outcomes in which an individual is not able to deny certain claims specifically about their involvement in the system, or more broadly any claim pertaining themselves, as a consequence of the data collected, shared or an action taken by the individual (or other individuals) in the system.\r\n\r\nNon-repudiation threats for a claim involve two key elements: (i) the system maintains evidence or proof of a fact or action related to an individual, impacting the plausible deniability (e.g., logfiles from an involved party that could be tampered with, or digital signatures providing strong guarantees of the authenticity of the evidence), (ii) that evidence is attributable to an individual. Both evidences can have varying strength which will result in a varying non-repudiation threat impact.
Examples:
The system retains evidence related to a particular action or fact, influencing the ability to deny claims. Examples of this evidence include log files, digital signatures, document metadata, and watermarked data, all of which can be attributed to an individual.
Impact:
Non-repudiation threats impact the plausible deniability of individuals, rendering them unable to refute specific actions or involvements, such as submitting a whistleblower report or casting a vote for someone."
Nr.1;Attributable data evidence;Description;"Nr.1: Attributable data evidence
A data record or message is (or can be) attributed to a user or data subject."
Nr.1.1;Data;Description;"Nr.1.1: Data
Data can be used to prevent an individual from denying certain claims.
Examples:
Transmissions are logged as evidence of communication.|Random data could be an indication that there is encrypted data, especially if it concerns the full drive or external device.|An encrypted office document still has the office file format, but requires a password to open it. This document format makes it clear that there is encrypted data.|An account with a corporate email address eliminates the employee's deniability of having used that service.|The use of a corporate mail address makes it impossible to deny being affiliated with that organization.|System administrators can access log files linking an entry in an internal complaint system to the individual employee.
Impact:
Identity information can magnify the impact.|Depending on the context (e.g., medical, whistleblower), this can have a large impact on the data subject."
Nr.1.2;Signed data;Description;"Nr.1.2: Signed data
Signed data can prevent deniability.
Examples:
A digitally signed email prevents the user from later denying having written the message.|A common spam countermeasure (DKIM) involves signing outgoing emails, this prevents users from denying the authenticity of leaked or stolen emails.|Data stored on a blockchain cannot be modified, eliminating the deniability of claims related to this data.
Impact:
Signatures provide strong non-repudiation, as they can also be verified by third parties.|Append-only storage systems make it impossible for the data subject to later remove their personal data."
Nr.1.3;Metadata;Description;"Nr.1.3: Metadata
Metadata can contain unintended data impacting deniability claims about that data.
Examples:
Author or revision metadata in documents prevents deniability.
Impact:
The unintentional inclusion of metadata with data or transmissions may impact deniability claims."
Nr.1.4;Embedded/Hidden Data;Description;"Nr.1.4: Embedded/Hidden Data
Embedded or hidden data can be used to reveal additional information impacting deniability claims about the data.
Examples:
Data watermarked with hidden artifacts (uniquely linked to a person) can be used to track the person revealing or disclosing the data afterwards.|Remote resources (e.g. image in email) are automatically loaded to track the user opening it.|Secrets shared with one person, or modified for each recipient can serve as evidence of the disclosure of that data by that person.
Impact:
Hidden/embedded data can prevent a user from denying claims about the data."
Nr.2;Attributable action side-effect evidence;Description;"Nr.2: Attributable action side-effect evidence
Action side-effects can cause an action to be attributable to an individual.
Examples:
Read notifications serve as evidence that the user has opened/read the message.|An individual's browser history may be used to substantiate claims about their online activities.|Actions can be logged as evidence.
Impact:
Some actions may trigger side-effects that impact deniability claims regarding those actions."
D;Detecting;Description;"D: Detecting
Detecting threats represent cases of becoming aware of data subject involvement, membership, or participation to the system by observing existence of relevant information, through (i) observed communication, (ii) observed application side-effects (e.g., temporary files in the file system), or (iii) through system responses that may give away information about the existence of these elements. This final case addressed both threats caused by adversaries trying to probe the system (i.e., evoke responses that give away information about existence of data records), or system responses that accidentally leak information about the existence of specific records.\r\n\r\nIt is important to note that detecting threats do not require access to the data itself. Being able to observe existing of stored data, side-effects of processes, or communication flows between certain parties can be sufficient to deduce additional relevant information about an individual.\r\n\r\nThese threats involve an active threat actor, such as a receiving party that can deduce more information than they were suppose to, an outsider who observes the communication channel, or an insider (e.g. employee with internal access).
Exampels:
Detecting can be done by observing communication flows, including interactions with a system or service, and communication between systems. Detecting can also be achieved by observing application side effects or system responses, where the existence of certain data may be inadvertently revealed by the system.
Impact:
Observing or ascertaining the existence can be sufficient to learn sensitive information about individuals. Furthermore, detecting also facilitates linking and identifying, allowing for the inference of additional information about individuals."
